u,v,unweighted_hops,weighted_cost,path_length_sum,euclidean,tortuosity
4,47,inf,inf,inf,471.2387929701883,inf
4,48,inf,inf,inf,17.204650534085253,inf
4,49,inf,inf,inf,596.6313769824715,inf
4,50,inf,inf,inf,148.05404418657398,inf
4,51,inf,inf,inf,112.69871339105873,inf
4,52,inf,inf,inf,266.60832695172894,inf
4,53,inf,inf,inf,542.5311050990533,inf
4,54,inf,inf,inf,256.62813563598206,inf
4,55,inf,inf,inf,174.04022523543227,inf
4,56,inf,inf,inf,144.5441109142811,inf
4,57,inf,inf,inf,140.9432509913121,inf
4,58,inf,inf,inf,242.59431155738173,inf
4,59,inf,inf,inf,131.3202193114221,inf
4,60,inf,inf,inf,659.2192351562567,inf
4,61,inf,inf,inf,638.7871319931234,inf
4,62,inf,inf,inf,662.7473123295182,inf
4,63,inf,inf,inf,531.4150919949489,inf
4,64,inf,inf,inf,163.47782724271815,inf
4,65,inf,inf,inf,545.4768556043418,inf
4,66,inf,inf,inf,215.64786110694445,inf
4,67,inf,inf,inf,491.76620461353383,inf
4,68,inf,inf,inf,350.6251559714448,inf
4,69,inf,inf,inf,245.34873140083687,inf
4,70,inf,inf,inf,661.1278242518613,inf
4,71,inf,inf,inf,679.3121521068205,inf
4,72,inf,inf,inf,628.322369488784,inf
4,73,inf,inf,inf,375.13330963805384,inf
4,74,inf,inf,inf,677.2628736317974,inf
4,75,inf,inf,inf,247.88101984621574,inf
4,76,inf,inf,inf,55.97320787662612,inf
4,77,inf,inf,inf,266.6927070618917,inf
4,78,inf,inf,inf,112.78741064498288,inf
4,79,inf,inf,inf,597.0468993303625,inf
4,80,inf,inf,inf,109.48972554536796,inf
4,81,inf,inf,inf,242.00826432169626,inf
4,82,inf,inf,inf,240.3518254559345,inf
4,83,inf,inf,inf,545.9523788756671,inf
4,84,inf,inf,inf,275.138147118861,inf
4,85,inf,inf,inf,95.46203433826454,inf
4,86,inf,inf,inf,183.3930205869351,inf
4,87,inf,inf,inf,539.8342338162706,inf
4,88,inf,inf,inf,165.46298679765212,inf
4,89,inf,inf,inf,396.547601177967,inf
4,90,inf,inf,inf,515.4027551342737,inf
4,91,inf,inf,inf,417.2529209005013,inf
4,92,inf,inf,inf,167.1944975171133,inf
4,93,inf,inf,inf,364.72592449673766,inf
